"nome","pre","pos","veryhigh","inicio","inicio.ic","duracao","duracao.ic","quant_pos","quant_epidemico","mininc_pre","mininc_pos","mininc_epi","ano_inicio","ano_fim","populacao","cid10"
"Rondônia",0.606680552754847,0.567900676010407,2.94681391177674,6,"[2-15]",12,"[5.13953488372093-12.7720930232558]",0.309333392725345,3.52640067706893,0.309333392725345,0.309333392725345,0.61866678545069,2015,2024,1616379,"A92.0"
"Amazonas",0.178254712421051,0.182694806144468,0.467625419730234,14,"[4-20]",7,"[6.22790697674419-9.77209302325581]",0.126509831585052,0.70845505687629,0.126509831585052,0.126509831585052,0.253019663170104,2015,2024,3952262,"A92.0"
"Pará",0.787036251928628,0.88598844243641,2.77252802047909,8,"[2-16]",9,"[4.87128712871287-12]",0.11844184540923,3.87304834488181,0.0592209227046148,0.0592209227046148,0.11844184540923,2015,2024,8442962,"A92.0"
"São Paulo",0.182477769655509,0.179289129867309,0.903861266280999,5,"[2-11]",12,"[7-15.5441860465116]",0.0543183796210302,1.95546166635709,0.010863675924206,0.010863675924206,0.0217273518484121,2015,2024,46024937,"A92.0"
"Tocantins",2.12855860029956,1.80001998069355,11.5288265337357,11,"[3-20]",14,"[7.87128712871287-17.6842105263158]",0.315595598325071,21.2080242074448,0.315595598325071,0.315595598325071,0.631191196650142,2015,2024,1584306,"A92.0"
"Maranhão",0.375838417793385,0.538615836223583,2.91027676945563,11,"[7-13]",13,"[9.86666666666667-15.3333333333333]",0.0735228703916784,4.58782711244073,0.0735228703916784,0.0735228703916784,0.147045740783357,2015,2024,6800605,"A92.0"
"Piauí",0.453220421291193,1.03925828422375,3.5819902056529,14,"[8-21]",15,"[9.36744186046512-17.7720930232558]",0.152897062969738,10.3052620441603,0.152897062969738,0.152897062969738,0.305794125939476,2015,2024,3270174,"A92.0"
"Ceará",1.11466784793831,2.00092398044329,11.1675361091691,13,"[8-17]",13,"[5.8232558139535-14.7720930232558]",0.246183291741412,35.1930205693973,0.0559507481230482,0.0559507481230482,0.111901496246096,2015,2024,8936431,"A92.0"
"Rio Grande do Norte",1.84906572915928,3.22042023017116,15.4198945207802,17,"[9-23]",11,"[5.45581395348837-15.7720930232558]",0.575068713144527,23.9410185314379,0.151333871880139,0.151333871880139,0.302667743760277,2015,2024,3303953,"A92.0"
"Paraíba",1.17355945576561,1.82358416917861,7.8262473780439,15,"[13-23]",11,"[7.22790697674419-16.3162790697674]",0.148847880195318,17.8865536034707,0.124039900162765,0.124039900162765,0.24807980032553,2015,2024,4030961,"A92.0"
"Pernambuco",1.40547095331962,2.4478937809343,9.84530729153464,15,"[8-19]",13,"[5.45581395348837-14.7720930232558]",0.497176424601041,21.2128607829777,0.0552418249556712,0.0552418249556712,0.110483649911342,2015,2024,9051113,"A92.0"
"Alagoas",1.06565051919976,0.912852547221558,5.12676702679124,10,"[41-21]",10,"[4.93564356435644-16.3421052631579]",0.159986996256944,18.1425253755375,0.159986996256944,0.159986996256944,0.319973992513888,2015,2024,3125254,"A92.0"
"Sergipe",2.06578070838364,2.42634428120165,8.81267155493127,20,"[7-25]",13,"[3.93564356435644-16.6842105263158]",0.226053272618438,12.7041939211562,0.226053272618438,0.226053272618438,0.452106545236877,2015,2024,2211868,"A92.0"
"Bahia",1.04764089272128,1.4403571840966,6.81374703278733,8,"[5-19]",14,"[10.4558139534884-16.7720930232558]",0.375195536564749,11.187648726658,0.0341086851422499,0.0341086851422499,0.0682173702844999,2015,2024,14659023,"A92.0"
"Paraná",0.0907627079559484,0.0936774311058927,0.53183766185816,10,"[5-10]",11,"[7.22790697674419-12.7720930232558]",0.0422462178862206,0.912518306342366,0.0422462178862206,0.0422462178862206,0.0844924357724413,2015,2024,11835379,"A92.0"
"Roraima",1.23846295941585,1.45176216708105,6.43734152437574,20,"[46-32]",8,"[4.22790697674419-8.77209302325581]",0.787643449563252,11.9721804333614,0.787643449563252,0.787643449563252,1.5752868991265,2015,2024,634805,"A92.0"
"Minas Gerais",0.784606644858861,0.640119341279715,4.78321365151495,10,"[4-11]",13,"[12-14.7720930232558]",0.0289398465995198,26.0748017861673,0.0241165388329332,0.0241165388329332,0.0482330776658663,2015,2024,20732660,"A92.0"
"Rio de Janeiro",1.16222945853202,0.815048243245275,5.88583242163972,6,"[2-14]",13,"[7.13333333333333-14.8]",0.0541662057523788,9.97861879304934,0.0300923365290994,0.0300923365290994,0.0601846730581987,2015,2024,16615526,"A92.0"
"Santa Catarina",0.146602448777919,0.0942842611772636,0.455485877665121,9,"[3-16]",11,"[9.22790697674419-12]",0.0644151095172809,0.631268073269353,0.0644151095172809,0.0644151095172809,0.128830219034562,2015,2024,7762154,"A92.0"
"Rio Grande do Sul",0.0532880001418006,0.0540844945459955,0.27475931252399,11,"[5-18]",10,"[7.45581395348837-12.7720930232558]",0.0450935307467985,0.342710833675668,0.0450935307467985,0.0450935307467985,0.0901870614935969,2015,2024,11088065,"A92.0"
"Mato Grosso do Sul",1.23411195685417,1.13381002445592,5.49993163684969,8,"[1-14]",12,"[7.67821782178218-14.3421052631579]",0.17644513861883,23.3966253808568,0.17644513861883,0.17644513861883,0.35289027723766,2015,2024,2833742,"A92.0"
"Mato Grosso",0.515340142629343,0.742483065802293,3.47480074666869,8,"[2-13]",12,"[10.2279069767442-14.5441860465116]",0.132126961325646,18.8677300773022,0.132126961325646,0.132126961325646,0.264253922651291,2015,2024,3784239,"A92.0"
"Goiás",0.363230457839189,0.432540034202049,1.189004684714,6,"[4-14]",14,"[10.8712871287129-18]",0.0719323444650075,3.98505188336142,0.0719323444650075,0.0719323444650075,0.143864688930015,2015,2024,6950976,"A92.0"
"Acre",0.596377750633439,0.836927283625753,2.85744031839449,2,"[1-11]",7,"[3-10]",0.602569355732845,3.4949022632505,0.602569355732845,0.602569355732845,1.20513871146569,2015,2024,829780,"A92.0"
"Amapá",0.726303541151639,0.928255259868393,1.65302235835255,14,"[4-28]",6,"[3.45581395348837-8.77209302325581]",0.645771231666555,4.64955286799919,0.645771231666555,0.645771231666555,1.29154246333311,2015,2024,774268,"A92.0"
