"nome","pre","pos","veryhigh","inicio","inicio.ic","duracao","duracao.ic","quant_pos","quant_epidemico","mininc_pre","mininc_pos","mininc_epi","ano_inicio","ano_fim","populacao","cid10"
"Rondônia",4.65479482903607,4.60533520611301,22.3615670694527,2,"[49-7]",14,"[12-16]",1.54666696362672,47.8229425153383,0.309333392725345,0.309333392725345,0.61866678545069,2015,2024,1616379,"A90"
"Amazonas",3.49443451067703,4.39354432736646,15.9958819248335,4,"[1-11]",7,"[3.22790697674419-13]",1.84704354114176,17.3824508597861,0.126509831585052,0.126509831585052,0.253019663170104,2015,2024,3952262,"A90"
"Pará",1.51362125308606,1.92092356643633,6.76006854113909,4,"[3-8]",13,"[11.2279069767442-15.5441860465116]",0.781716179700915,10.1149335979482,0.0592209227046148,0.0592209227046148,0.11844184540923,2015,2024,8442962,"A90"
"São Paulo",10.5017015013641,11.0462342660809,82.1597761367241,8,"[2-11]",14,"[13-15.2666666666667]",2.55513657737326,134.072970050996,0.010863675924206,0.010863675924206,0.0217273518484121,2015,2024,46024937,"A90"
"Tocantins",10.4250109054641,10.6594845820956,48.8410822578649,4,"[2-12]",13,"[9.22790697674419-16.7720930232558]",3.21907510291572,91.4596043946056,0.315595598325071,0.315595598325071,0.631191196650142,2015,2024,1584306,"A90"
"Maranhão",0.659773593639333,1.01405022783908,6.11633784076938,6,"[3-11]",12,"[10-15]",0.249977759331707,10.4108384474617,0.0735228703916784,0.0735228703916784,0.147045740783357,2015,2024,6800605,"A90"
"Piauí",1.50143943209977,2.51817492024288,13.5999804504487,14,"[9-17]",15,"[10.2279069767442-17]",0.611588251878952,25.3503330403826,0.152897062969738,0.152897062969738,0.305794125939476,2015,2024,3270174,"A90"
"Ceará",4.71267748454238,7.3972817082984,27.8911487339712,13,"[9-16]",14,"[10.6837209302326-14]",2.18207917679888,50.4228142084911,0.0559507481230482,0.0559507481230482,0.111901496246096,2015,2024,8936431,"A90"
"Rio Grande do Norte",5.17243400394367,9.73297748669882,37.1265436116453,12,"[8-16]",11,"[9-16.5441860465116]",2.5121422732103,63.6207597384103,0.151333871880139,0.151333871880139,0.302667743760277,2015,2024,3303953,"A90"
"Paraíba",3.7099153527725,5.90097381963737,24.1978685920614,15,"[8-21]",12,"[5.36744186046512-17.8604651162791]",1.76136658231127,42.4960697957633,0.124039900162765,0.124039900162765,0.24807980032553,2015,2024,4030961,"A90"
"Pernambuco",4.6264095709947,8.08136125691145,27.2372413593686,14,"[8-18]",11,"[9-13]",2.88362326268604,55.5180340804496,0.0552418249556712,0.0552418249556712,0.110483649911342,2015,2024,9051113,"A90"
"Alagoas",3.00394822371525,4.87511387919882,20.814589747274,16,"[7-19]",11,"[7.22790697674419-16]",1.18390377230139,37.7249337173875,0.159986996256944,0.159986996256944,0.319973992513888,2015,2024,3125254,"A90"
