"SE","tweets","Rt","casos","APS","Rtw","Rtestimado"
200952,NA,NA,NA,"AP1",NA,NA
201001,NA,NA,1,"AP1",NA,NA
201002,NA,NA,9,"AP1",NA,NA
201003,NA,NA,2,"AP1",NA,NA
201004,NA,2,0,"AP1",NA,2
201005,NA,1.5,0,"AP1",NA,1.5
201006,NA,2.66666666666667,1,"AP1",NA,2.66666666666667
201007,NA,1.125,6,"AP1",NA,1.125
201008,NA,1.55555555555556,0,"AP1",NA,1.55555555555556
201009,NA,0.857142857142857,0,"AP1",NA,0.857142857142857
201010,NA,1,1,"AP1",NA,1
201011,NA,0.666666666666667,0,"AP1",NA,0.666666666666667
201012,NA,1.25,9,"AP1",NA,1.25
201013,NA,1.1,3,"AP1",NA,1.1
201014,NA,1.18181818181818,0,"AP1",NA,1.18181818181818
201015,NA,0.769230769230769,2,"AP1",NA,0.769230769230769
201016,NA,0.7,3,"AP1",NA,0.7
201017,NA,1.85714285714286,7,"AP1",NA,1.85714285714286
201018,NA,1.38461538461538,0,"AP1",NA,1.38461538461538
201019,NA,1.38888888888889,0,"AP1",NA,1.38888888888889
201020,NA,0.76,0,"AP1",NA,0.76
201021,NA,0.789473684210526,0,"AP1",NA,0.789473684210526
201022,NA,0.6,7,"AP1",NA,0.6
201023,NA,0.555555555555556,2,"AP1",NA,0.555555555555556
201024,NA,1.6,1,"AP1",NA,1.6
201025,NA,1.25,2,"AP1",NA,1.25
201026,NA,1.1,1,"AP1",NA,1.1
201027,NA,0.727272727272727,7,"AP1",NA,0.727272727272727
201028,NA,0.75,0,"AP1",NA,0.75
201029,NA,1.5,2,"AP1",NA,1.5
201030,NA,1.11111111111111,1,"AP1",NA,1.11111111111111
201031,NA,1.3,2,"AP1",NA,1.3
201032,NA,1,8,"AP1",NA,1
201033,NA,0.923076923076923,1,"AP1",NA,0.923076923076923
201034,NA,0.666666666666667,1,"AP1",NA,0.666666666666667
201035,NA,0.75,2,"AP1",NA,0.75
201036,NA,1.16666666666667,3,"AP1",NA,1.16666666666667
201037,NA,1.14285714285714,5,"AP1",NA,1.14285714285714
201038,NA,1,2,"AP1",NA,1
201039,NA,0.5,10,"AP1",NA,0.5
201040,NA,1,0,"AP1",NA,1
201041,NA,1.25,1,"AP1",NA,1.25
201042,NA,1.2,9,"AP1",NA,1.2
201043,NA,1.66666666666667,5,"AP1",NA,1.66666666666667
201044,NA,0.9,2,"AP1",NA,0.9
201045,NA,1,3,"AP1",NA,1
201046,NA,0.777777777777778,2,"AP1",NA,0.777777777777778
201047,NA,1.42857142857143,7,"AP1",NA,1.42857142857143
201048,NA,1.5,2,"AP1",NA,1.5
201049,NA,1.13333333333333,7,"AP1",NA,1.13333333333333
201050,NA,1.29411764705882,0,"AP1",NA,1.29411764705882
201051,NA,0.909090909090909,5,"AP1",NA,0.909090909090909
201052,NA,1.1,7,"AP1",NA,1.1
201101,NA,1.31818181818182,1,"AP1",NA,1.31818181818182
201102,NA,1.93103448275862,1,"AP1",NA,1.93103448275862
201103,60,1.25,7,"AP1",NA,1.25
201104,73,1.42857142857143,2,"AP1",NA,1.42857142857143
201105,108,1.43,2,"AP1",NA,1.43
201106,203,1.45454545454545,1,"AP1",1.59336099585062,1.45454545454545
201107,218,1.36538461538462,6,"AP1",1.37760416666667,1.36538461538462
201108,248,1.22183098591549,1,"AP1",1.26465028355388,1.22183098591549
201109,251,1.11239193083573,3,"AP1",1.07174887892377,1.11239193083573
201110,196,0.992227979274611,16,"AP1",0.96931659693166,0.992227979274611
201111,324,1.08093994778068,5,"AP1",1.10935251798561,1.08093994778068
201112,695,1.33333333333333,2,"AP1",1.57587548638132,1.33333333333333
201113,800,1.26086956521739,2,"AP1",1.49711934156379,1.26086956521739
201114,789,1.1867816091954,4,"AP1",1.25563496426608,1.1867816091954
201115,808,1.02179176755448,6,"AP1",1.04947460595447,1.02179176755448
201116,639,0.87914691943128,0,"AP1",0.932832707551106,0.87914691943128
201117,621,0.803234501347709,7,"AP1",0.924865831842576,0.803234501347709
201118,526,0.810402684563758,2,"AP1",0.863636363636364,0.810402684563758
201119,671,0.892339544513458,6,"AP1",1.01791713325868,0.892339544513458
201120,450,0.853828306264501,12,"AP1",0.905940594059406,0.853828306264501
201121,289,0.698369565217391,4,"AP1",0.856102003642987,0.698369565217391
