"SE","casos","APS"
201001,1,"AP1"
201001,9,"AP2.1"
201001,2,"AP2.2"
201001,0,"AP3.1"
201001,0,"AP3.2"
201001,1,"AP3.3"
201001,6,"AP4"
201001,0,"AP5.1"
201001,0,"AP5.2"
201001,1,"AP5.3"
201002,0,"AP1"
201002,9,"AP2.1"
201002,3,"AP2.2"
201002,0,"AP3.1"
201002,2,"AP3.2"
201002,3,"AP3.3"
201002,7,"AP4"
201002,0,"AP5.1"
201002,0,"AP5.2"
201002,0,"AP5.3"
201003,0,"AP1"
201003,7,"AP2.1"
201003,2,"AP2.2"
201003,1,"AP3.1"
201003,2,"AP3.2"
201003,1,"AP3.3"
201003,7,"AP4"
201003,0,"AP5.1"
201003,2,"AP5.2"
201003,1,"AP5.3"
201004,2,"AP1"
201004,8,"AP2.1"
201004,1,"AP2.2"
201004,1,"AP3.1"
201004,2,"AP3.2"
201004,3,"AP3.3"
201004,5,"AP4"
201004,2,"AP5.1"
201004,10,"AP5.2"
201004,0,"AP5.3"
201005,1,"AP1"
201005,9,"AP2.1"
201005,5,"AP2.2"
201005,2,"AP3.1"
201005,3,"AP3.2"
201005,2,"AP3.3"
201005,7,"AP4"
201005,2,"AP5.1"
201005,7,"AP5.2"
201005,0,"AP5.3"
201006,5,"AP1"
201006,7,"AP2.1"
201006,1,"AP2.2"
201006,1,"AP3.1"
201006,7,"AP3.2"
201006,2,"AP3.3"
201006,2,"AP4"
201006,1,"AP5.1"
201006,6,"AP5.2"
201006,1,"AP5.3"
201007,3,"AP1"
201007,16,"AP2.1"
201007,5,"AP2.2"
201007,2,"AP3.1"
201007,2,"AP3.2"
201007,4,"AP3.3"
201007,6,"AP4"
201007,0,"AP5.1"
201007,7,"AP5.2"
201007,2,"AP5.3"
201008,6,"AP1"
201008,12,"AP2.1"
201008,4,"AP2.2"
201008,1,"AP3.1"
201008,5,"AP3.2"
201008,4,"AP3.3"
201008,3,"AP4"
201008,8,"AP5.1"
201008,5,"AP5.2"
201008,2,"AP5.3"
201009,3,"AP1"
201009,15,"AP2.1"
201009,1,"AP2.2"
201009,1,"AP3.1"
201009,11,"AP3.2"
201009,7,"AP3.3"
201009,7,"AP4"
201009,5,"AP5.1"
201009,6,"AP5.2"
201009,1,"AP5.3"
201010,3,"AP1"
201010,7,"AP2.1"
201010,4,"AP2.2"
201010,3,"AP3.1"
201010,2,"AP3.2"
201010,7,"AP3.3"
201010,9,"AP4"
201010,2,"AP5.1"
201010,6,"AP5.2"
201010,2,"AP5.3"
201011,2,"AP1"
201011,11,"AP2.1"
201011,2,"AP2.2"
201011,1,"AP3.1"
201011,4,"AP3.2"
201011,5,"AP3.3"
201011,8,"AP4"
201011,1,"AP5.1"
201011,11,"AP5.2"
201011,2,"AP5.3"
201012,5,"AP1"
201012,17,"AP2.1"
201012,3,"AP2.2"
201012,4,"AP3.1"
201012,4,"AP3.2"
201012,7,"AP3.3"
201012,16,"AP4"
201012,7,"AP5.1"
201012,6,"AP5.2"
201012,1,"AP5.3"
201013,4,"AP1"
201013,11,"AP2.1"
201013,1,"AP2.2"
201013,3,"AP3.1"
201013,3,"AP3.2"
201013,2,"AP3.3"
201013,12,"AP4"
201013,4,"AP5.1"
201013,4,"AP5.2"
201013,1,"AP5.3"
201014,4,"AP1"
201014,8,"AP2.1"
201014,2,"AP2.2"
201014,3,"AP3.1"
201014,6,"AP3.2"
201014,2,"AP3.3"
201014,6,"AP4"
201014,4,"AP5.1"
201014,5,"AP5.2"
201014,1,"AP5.3"
201015,2,"AP1"
201015,11,"AP2.1"
201015,3,"AP2.2"
201015,2,"AP3.1"
201015,5,"AP3.2"
201015,3,"AP3.3"
201015,14,"AP4"
201015,3,"AP5.1"
201015,6,"AP5.2"
201015,1,"AP5.3"
201016,1,"AP1"
201016,15,"AP2.1"
201016,2,"AP2.2"
201016,5,"AP3.1"
201016,4,"AP3.2"
201016,2,"AP3.3"
201016,9,"AP4"
201016,2,"AP5.1"
201016,14,"AP5.2"
201016,3,"AP5.3"
201017,10,"AP1"
201017,12,"AP2.1"
201017,9,"AP2.2"
201017,4,"AP3.1"
201017,8,"AP3.2"
201017,7,"AP3.3"
201017,22,"AP4"
201017,0,"AP5.1"
201017,11,"AP5.2"
201017,0,"AP5.3"
201018,7,"AP1"
201018,13,"AP2.1"
201018,14,"AP2.2"
201018,4,"AP3.1"
201018,11,"AP3.2"
201018,8,"AP3.3"
201018,10,"AP4"
201018,8,"AP5.1"
201018,15,"AP5.2"
201018,4,"AP5.3"
201019,8,"AP1"
201019,13,"AP2.1"
201019,5,"AP2.2"
201019,3,"AP3.1"
201019,5,"AP3.2"
201019,10,"AP3.3"
201019,7,"AP4"
201019,5,"AP5.1"
201019,2,"AP5.2"
201019,3,"AP5.3"
201020,4,"AP1"
201020,25,"AP2.1"
201020,8,"AP2.2"
201020,1,"AP3.1"
201020,4,"AP3.2"
201020,8,"AP3.3"
201020,10,"AP4"
201020,4,"AP5.1"
201020,7,"AP5.2"
201020,0,"AP5.3"
201021,3,"AP1"
201021,9,"AP2.1"
201021,8,"AP2.2"
201021,5,"AP3.1"
201021,8,"AP3.2"
201021,8,"AP3.3"
201021,11,"AP4"
201021,2,"AP5.1"
201021,6,"AP5.2"
201021,2,"AP5.3"
201022,2,"AP1"
201022,11,"AP2.1"
201022,7,"AP2.2"
201022,2,"AP3.1"
201022,2,"AP3.2"
201022,4,"AP3.3"
201022,12,"AP4"
201022,5,"AP5.1"
201022,8,"AP5.2"
201022,4,"AP5.3"
201023,0,"AP1"
201023,4,"AP2.1"
201023,3,"AP2.2"
201023,2,"AP3.1"
201023,4,"AP3.2"
201023,3,"AP3.3"
201023,5,"AP4"
201023,2,"AP5.1"
201023,6,"AP5.2"
201023,3,"AP5.3"
201024,6,"AP1"
201024,10,"AP2.1"
201024,6,"AP2.2"
201024,2,"AP3.1"
201024,9,"AP3.2"
201024,9,"AP3.3"
201024,6,"AP4"
201024,5,"AP5.1"
201024,9,"AP5.2"
201024,0,"AP5.3"
201025,4,"AP1"
201025,3,"AP2.1"
201025,1,"AP2.2"
201025,1,"AP3.1"
201025,7,"AP3.2"
201025,5,"AP3.3"
201025,11,"AP4"
201025,6,"AP5.1"
201025,2,"AP5.2"
201025,1,"AP5.3"
201026,1,"AP1"
201026,7,"AP2.1"
201026,6,"AP2.2"
201026,2,"AP3.1"
201026,7,"AP3.2"
201026,9,"AP3.3"
201026,5,"AP4"
201026,7,"AP5.1"
201026,5,"AP5.2"
201026,2,"AP5.3"
201027,3,"AP1"
201027,10,"AP2.1"
201027,2,"AP2.2"
201027,4,"AP3.1"
201027,6,"AP3.2"
201027,13,"AP3.3"
201027,8,"AP4"
201027,9,"AP5.1"
201027,8,"AP5.2"
201027,1,"AP5.3"
201028,2,"AP1"
201028,9,"AP2.1"
201028,1,"AP2.2"
201028,5,"AP3.1"
201028,3,"AP3.2"
201028,9,"AP3.3"
201028,7,"AP4"
201028,9,"AP5.1"
201028,5,"AP5.2"
201028,4,"AP5.3"
201029,4,"AP1"
201029,13,"AP2.1"
201029,2,"AP2.2"
201029,3,"AP3.1"
201029,4,"AP3.2"
201029,4,"AP3.3"
201029,9,"AP4"
201029,5,"AP5.1"
201029,4,"AP5.2"
201029,1,"AP5.3"
201030,4,"AP1"
201030,17,"AP2.1"
201030,1,"AP2.2"
201030,7,"AP3.1"
201030,11,"AP3.2"
201030,12,"AP3.3"
201030,6,"AP4"
201030,12,"AP5.1"
201030,16,"AP5.2"
201030,2,"AP5.3"
201031,5,"AP1"
201031,12,"AP2.1"
201031,8,"AP2.2"
201031,5,"AP3.1"
201031,9,"AP3.2"
201031,6,"AP3.3"
201031,12,"AP4"
201031,13,"AP5.1"
201031,12,"AP5.2"
201031,2,"AP5.3"
201032,4,"AP1"
201032,15,"AP2.1"
201032,2,"AP2.2"
201032,4,"AP3.1"
201032,6,"AP3.2"
201032,11,"AP3.3"
201032,7,"AP4"
201032,12,"AP5.1"
201032,12,"AP5.2"
201032,0,"AP5.3"
201033,3,"AP1"
201033,6,"AP2.1"
201033,2,"AP2.2"
