"APS","SE","data","tweets","casos","casos_est","casos_estmin","casos_estmax","tmin","Rt","pRt1","inc","cor","nivel"
"AP1",201001,"2010-01-06",NA,1,1,1,1,25.4285714285714,NA,NA,0.44060045029366,NA,"nulo"
"AP1",201002,"2010-01-13",NA,0,0,0,0,25.2857142857143,NA,NA,0,NA,"nulo"
"AP1",201003,"2010-01-20",NA,0,0,0,0,24.2857142857143,NA,NA,0,NA,"nulo"
"AP1",201004,"2010-01-27",NA,2,2,2,2,24.1666666666667,2,0.75,0.88120090058732,NA,"nulo"
"AP1",201005,"2010-02-03",NA,1,1,1,1,25.4285714285714,1.5,0.6875,0.44060045029366,NA,"nulo"
"AP1",201006,"2010-02-10",NA,5,5,5,5,25.7142857142857,2.66666666666667,0.9453125,2.2030022514683,2,"amarelo"
"AP1",201007,"2010-02-17",NA,3,3,3,3,24.4285714285714,1.125,0.598190307617187,1.32180135088098,2,"amarelo"
"AP1",201008,"2010-02-24",NA,6,6,6,6,24.5714285714286,1.55555555555556,0.856860637664795,2.64360270176196,2,"amarelo"
"AP1",201009,"2010-03-03",NA,3,3,3,3,22.1428571428571,0.857142857142857,0.345018982887268,1.32180135088098,2,"amarelo"
"AP1",201010,"2010-03-10",NA,3,3,3,3,24.8571428571429,1,0.5,1.32180135088098,2,"amarelo"
"AP1",201011,"2010-03-17",NA,2,2,2,2,23.8571428571429,0.666666666666667,0.179641723632813,0.88120090058732,2,"amarelo"
"AP1",201012,"2010-03-24",NA,5,5,5,5,25.8571428571429,1.25,0.685470581054688,2.2030022514683,2,"amarelo"
"AP1",201013,"2010-03-31",NA,4,4,4,4,24.1428571428571,1.1,0.588098526000976,1.76240180117464,2,"amarelo"
"AP1",201014,"2010-04-07",NA,4,4,4,4,21.2857142857143,1.18181818181818,0.661180257797241,1.76240180117464,2,"amarelo"
"AP1",201015,"2010-04-14",NA,2,2,2,2,21.7142857142857,0.769230769230769,0.261733531951904,0.88120090058732,2,"amarelo"
"AP1",201016,"2010-04-21",NA,1,1,1,1,24.4285714285714,0.7,0.227249145507812,0.44060045029366,2,"amarelo"
"AP1",201017,"2010-04-28",NA,10,10,10,10,22.5714285714286,1.85714285714286,0.916465759277344,4.4060045029366,NA,"nulo"
"AP1",201018,"2010-05-05",NA,7,7,7,7,22.8571428571429,1.38461538461538,0.819202695973217,3.08420315205562,2,"amarelo"
"AP1",201019,"2010-05-12",NA,8,8,8,8,20.7142857142857,1.38888888888889,0.86002188073553,3.52480360234928,2,"amarelo"
"AP1",201020,"2010-05-19",NA,4,4,4,4,21.2857142857143,0.76,0.180188826467884,1.76240180117464,2,"amarelo"
"AP1",201021,"2010-05-26",NA,3,3,3,3,21.2857142857143,0.789473684210526,0.243425120832398,1.32180135088098,2,"amarelo"
"AP1",201022,"2010-06-02",NA,2,2,2,2,19.7142857142857,0.6,0.105019807815552,0.88120090058732,NA,"nulo"
"AP1",201023,"2010-06-09",NA,0,0,0,0,18.4285714285714,0.555555555555556,0.1334228515625,0,NA,"nulo"
"AP1",201024,"2010-06-16",NA,6,6,6,6,17.8571428571429,1.6,0.80615234375,2.64360270176196,NA,"nulo"
"AP1",201025,"2010-06-23",NA,4,4,4,4,19.2857142857143,1.25,0.685470581054688,1.76240180117464,NA,"nulo"
"AP1",201026,"2010-06-30",NA,1,1,1,1,19.7142857142857,1.1,0.588098526000976,0.44060045029366,NA,"nulo"
"AP1",201027,"2010-07-07",NA,3,3,3,3,20.1428571428571,0.727272727272727,0.240341186523438,1.32180135088098,NA,"nulo"
"AP1",201028,"2010-07-14",NA,2,2,2,2,21,0.75,0.29052734375,0.88120090058732,NA,"nulo"
"AP1",201029,"2010-07-21",NA,4,4,4,4,20.7142857142857,1.5,0.78802490234375,1.76240180117464,NA,"nulo"
"AP1",201030,"2010-07-28",NA,4,4,4,4,20.5,1.11111111111111,0.592735290527344,1.76240180117464,NA,"nulo"
"AP1",201031,"2010-08-04",NA,5,5,5,5,20,1.3,0.738266468048096,2.2030022514683,NA,"nulo"
"AP1",201032,"2010-08-11",NA,4,4,4,4,19.4285714285714,1,0.5,1.76240180117464,NA,"nulo"
"AP1",201033,"2010-08-18",NA,3,3,3,3,17.2857142857143,0.923076923076923,0.419409871101379,1.32180135088098,NA,"nulo"
