"julian","SE","data","dia","casos","twits","tmin","tmed","tmax","t18","t24","t28","t32","mmchuva","diaschuva","umin","umed","casosq","Rt"
-5,0,200952,"27Dec2009",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,201001,"3Jan2010",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
9,2,201002,"10Jan2010",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1.76
16,3,201003,"17Jan2010",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1.06818181818182
23,4,201004,"24Jan2010",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1.21276595744681
30,5,201005,"31Jan2010",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1.26315789473684
37,6,201006,"7Feb2010",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,0.986111111111111
44,7,201007,"14Feb2010",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,1.12676056338028
51,8,201008,"21Feb2010",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1.2125
58,9,201009,"28Feb2010",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,1.10309278350515
65,10,201010,"7Mar2010",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,0.953271028037383
72,11,201011,"14Mar2010",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,0.901960784313726
79,12,201012,"21Mar2010",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,1.27173913043478
86,13,201013,"28Mar2010",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,0.982905982905983
93,14,201014,"4Apr2010",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,0.747826086956522
100,15,201015,"11Apr2010",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1.05813953488372
107,16,201016,"18Apr2010",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,1.17582417582418
114,17,201017,"25Apr2010",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,1.30841121495327
121,18,201018,"2May2010",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,1.26428571428571
128,19,201019,"9May2010",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,0.875706214689266
135,20,201020,"16May2010",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,0.851612903225806
142,21,201021,"23May2010",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,1.00757575757576
149,22,201022,"30May2010",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,0.894736842105263
156,23,201023,"6Jun2010",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,0.747899159663866
163,24,201024,"13Jun2010",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,1.0561797752809
170,25,201025,"20Jun2010",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,1.09574468085106
177,26,201026,"27Jun2010",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,0.893203883495146
184,27,201027,"4Jul2010",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,1.25
191,28,201028,"11Jul2010",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,1.02608695652174
198,29,201029,"18Jul2010",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,0.872881355932203
205,30,201030,"25Jul2010",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,1.33009708737864
212,31,201031,"1Aug2010",84,NA,16.7860714285714,20.0220946212957,28.1675,4.92534722222222,0.802083333333333,0.0295138888888889,0,13,0.225694444444444,59.0492857142857,81.9534207207339,172,1.25547445255474
