,UF,Município,"Cód IBGE","Cód Região de Saúde","Nome da Região de Saúde"
1,AC,Acrelândia,120001,12002,"Baixo Acre e Purus"
2,AC,"Assis Brasil",120005,12001,"Alto Acre"
3,AC,Brasiléia,120010,12001,"Alto Acre"
4,AC,Bujari,120013,12002,"Baixo Acre e Purus"
5,AC,Capixaba,120017,12002,"Baixo Acre e Purus"
6,AC,"Cruzeiro do Sul",120020,12003,"Juruá e Tarauacá/Envira"
7,AC,Epitaciolândia,120025,12001,"Alto Acre"
8,AC,Feijó,120030,12003,"Juruá e Tarauacá/Envira"
9,AC,Jordão,120032,12002,"Baixo Acre e Purus"
10,AC,"Mâncio Lima",120033,12003,"Juruá e Tarauacá/Envira"
11,AC,"Manoel Urbano",120034,12002,"Baixo Acre e Purus"
12,AC,"Marechal Thaumaturgo",120035,12003,"Juruá e Tarauacá/Envira"
13,AC,"Plácido de Castro",120038,12002,"Baixo Acre e Purus"
14,AC,"Porto Acre",120080,12002,"Baixo Acre e Purus"
15,AC,"Porto Walter",120039,12003,"Juruá e Tarauacá/Envira"
16,AC,"Rio Branco",120040,12002,"Baixo Acre e Purus"
17,AC,"Rodrigues Alves",120042,12003,"Juruá e Tarauacá/Envira"
18,AC,"Santa Rosa do Purus",120043,12002,"Baixo Acre e Purus"
19,AC,"Senador Guiomard",120045,12002,"Baixo Acre e Purus"
20,AC,"Sena Madureira",120050,12002,"Baixo Acre e Purus"
21,AC,Tarauacá,120060,12003,"Juruá e Tarauacá/Envira"
22,AC,Xapuri,120070,12001,"Alto Acre"
23,AL,"Água Branca",270010,27010,"10ª Região de Saúde"
24,AL,Anadia,270020,27005,"5ª Região de Saúde"
25,AL,Arapiraca,270030,27007,"7ª Região de Saúde"
26,AL,Atalaia,270040,27004,"4ª Região de Saúde"
27,AL,"Barra de Santo Antônio",270050,27001,"1ª Região de Saúde"
28,AL,"Barra de São Miguel",270060,27001,"1ª Região de Saúde"
29,AL,Batalha,270070,27007,"7ª Região de Saúde"
30,AL,Belém,270080,27008,"8ª Região de Saúde"
31,AL,"Belo Monte",270090,27007,"7ª Região de Saúde"
32,AL,"Boca da Mata",270100,27005,"5ª Região de Saúde"
33,AL,Branquinha,270110,27003,"3ª Região de Saúde"
34,AL,Cacimbinhas,270120,27008,"8ª Região de Saúde"
35,AL,Cajueiro,270130,27004,"4ª Região de Saúde"
36,AL,Campestre,270135,27003,"3ª Região de Saúde"
37,AL,"Campo Alegre",270140,27005,"5ª Região de Saúde"
38,AL,"Campo Grande",270150,27007,"7ª Região de Saúde"
39,AL,Canapi,270160,27009,"9ª Região de Saúde"
40,AL,Capela,270170,27004,"4ª Região de Saúde"
41,AL,Carneiros,270180,27009,"9ª Região de Saúde"
42,AL,"Chã Preta",270190,27004,"4ª Região de Saúde"
43,AL,"Coité do Nóia",270200,27007,"7ª Região de Saúde"
44,AL,"Colônia Leopoldina",270210,27003,"3ª Região de Saúde"
45,AL,"Coqueiro Seco",270220,27001,"1ª Região de Saúde"
46,AL,Coruripe,270230,27006,"6ª Região de Saúde"
47,AL,Craíbas,270235,27007,"7ª Região de Saúde"
